cell_type1	cell_type2	n_intersect	n_genes1	intersect_list
Bone-Connective	HeadandNeck*	19	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS,VCY
Bone-Connective	HeadandNeck-Glandular	11	48	ALG1L,BCL2L2-PABPN1,FAM86B1,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL21,RPSA,TBC1D3F
Bone-Connective	HeadandNeck-Squamous	19	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS,VCY
Bone-Connective	Kidney	23	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CLEC18C,CTAGE8,FAM86B1,GOLGA8N,GPX4,HIST1H2AJ,LCE1E,MDM2,NPIPA5,NPM1,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TNFRSF13C,WDR59
Bone-Connective	Liver	7	48	ASH2L,FAM86B1,HIST1H2AJ,POLR2A,RPL13A,RPL21,TBC1D3F
Bone-Connective	Lung	31	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CLEC18C,CTAGE8,FAM86B1,FPGS,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,IGF1R,LCE1E,LIN37,MDM2,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TRIM37,VCY,ZFP82
Bone-Connective	Lung*	37	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CBWD3,CLEC18C,CTAGE8,FAM86B1,FPGS,FURIN,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,HSP90AB1,IGF1R,LCE1E,LIG1,LIN37,MDM2,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TRIM37,TYMS,VCY,ZFP82
Bone-Connective	Lung-Glandular	24	48	ALG1L,BCL2L2-PABPN1,CBWD3,FAM86B1,FURIN,GPX4,HIST1H2AJ,HIST2H3D,HSP90AB1,LCE1E,LIG1,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS,VCY
Bone-Connective	Lung-Squamous	13	48	ALG1L,BCL2L2-PABPN1,FAM86B1,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TYMS
Bone-Connective	Lymphoid	28	48	ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CTAGE8,DDX19A,FAM86B1,FPGS,GPX4,HIST1H2AJ,HIST2H3D,IGF1R,LCE1E,LIG1,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,STAG1,TBC1D3F,TMA7,TYMS,USP14,WDR59
Bone-Connective	Myeloid	27	48	ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CBWD3,CLEC18C,CTAGE8,FAM86B1,FPGS,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,HSP90AB1,IGF1R,LCE1E,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TYMS
Bone-Connective	Nervous	21	48	ALG1L,BCL2L2-PABPN1,CARS2,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,MDM2,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS,VCY
Bone-Connective	Nervous*	21	48	ALG1L,BCL2L2-PABPN1,CARS2,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,MDM2,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TMA7,TRIM37,TYMS,VCY
Bone-Connective	Nervous-Glandular	12	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,POLR2A,RGPD6,RPL21,TBC1D3F
Bone-Connective	Nervous-StemCell	2	48	MDM2,RPSA
Bone-Connective	Oral	16	48	ALG1L,BCL2L2-PABPN1,FAM86B1,HIST2H3D,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TRIM37,TYMS,USP14
Bone-Connective	Oral*	18	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TRIM37,TYMS,USP14
Bone-Connective	Oral-Glandular	6	48	FAM86B1,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL21
Bone-Connective	Oral-Squamous	17	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,TBC1D3F,TRIM37,TYMS
Bone-Connective	Ovary	30	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CARS2,CLEC18C,CTAGE8,FAM86B1,FPGS,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,LCE1E,LIN37,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TMA7,TNFRSF13C,TRIM37,TYMS,VCY,ZFP82
Bone-Connective	Ovary-Glandular	16	48	ALG1L,BCL2L2-PABPN1,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,NPIPA5,NPM1,PLGLB2,POLR2A,RGPD6,RPL21,RPSA,TBC1D3F,TRIM37
Bone-Connective	Pancreas	19	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CTAGE8,FAM86B1,GBGT1,LCE1E,LIN37,NPIPA5,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TNFRSF13C,TYMS,ZFP82
Bone-Connective	Pancreas-Glandular	26	48	AFM,ALG1L,ASH2L,BCL2L2-PABPN1,CLEC18C,CTAGE8,FAM86B1,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H3D,IGF1R,LCE1E,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL13A,RPL21,RPSA,SPATA31A7,TBC1D3F,TNFRSF13C,TYMS,ZFP82
